time,value
2024-07-29T05:39:30.11116041Z,29
2024-07-29T05:39:32.260318536Z,38
2024-07-29T05:39:33.280165321Z,27
2024-07-29T05:39:34.310255828Z,22
2024-07-29T05:39:37.380516929Z,32
2024-07-29T05:39:38.400348231Z,35
2024-07-29T05:39:39.420230415Z,55
2024-07-29T05:39:40.459240047Z,54
2024-07-29T05:39:41.470467145Z,57
2024-07-29T05:39:43.520223455Z,19
2024-07-29T05:39:44.650230419Z,21
2024-07-29T05:39:45.670203982Z,22
2024-07-29T05:39:46.700198746Z,26
2024-07-29T05:39:47.72016012Z,29
2024-07-29T05:39:48.740103493Z,25
2024-07-29T05:39:49.769964521Z,26
2024-07-29T05:39:50.790857187Z,28
2024-07-29T05:39:51.922770219Z,26
2024-07-29T05:39:52.830150175Z,27
2024-07-29T05:39:53.860572437Z,26
2024-07-29T05:39:54.890513013Z,24
2024-07-29T05:39:55.910442596Z,29
2024-07-29T05:39:56.92020083Z,47
2024-07-29T05:39:58.060242814Z,24
2024-07-29T05:39:59.084382452Z,29
2024-07-29T05:40:00.110341692Z,38
2024-07-29T05:40:01.130363108Z,49
2024-07-29T05:40:02.160952903Z,43
2024-07-29T05:40:03.290308275Z,24
2024-07-29T05:40:04.210960856Z,36
2024-07-29T05:40:05.328080485Z,49
2024-07-29T05:40:06.267443813Z,11
2024-07-29T05:40:07.280472391Z,15
2024-07-29T05:40:09.330269455Z,9
2024-07-29T05:40:10.450307087Z,11
2024-07-29T05:40:11.380222489Z,12
2024-07-29T05:40:12.40057669Z,10
2024-07-29T05:40:13.530227733Z,12
2024-07-29T05:40:14.447405102Z,16
2024-07-29T05:40:15.570500873Z,791
2024-07-29T05:40:16.600384763Z,55
2024-07-29T05:40:17.720649416Z,791
2024-07-29T05:40:22.021061811Z,792
2024-07-29T05:40:22.870278102Z,87
2024-07-29T05:40:25.197190229Z,55
2024-07-29T05:40:26.12037153Z,77
2024-07-29T05:40:27.251726762Z,76
2024-07-29T05:40:28.180162489Z,55
2024-07-29T05:40:29.400732432Z,791
2024-07-29T05:40:30.320735716Z,41
2024-07-29T05:40:31.450402058Z,791
2024-07-29T05:40:33.600643439Z,792
2024-07-29T05:40:34.517263207Z,57
2024-07-29T05:40:35.650305201Z,791
2024-07-29T05:40:36.900680471Z,56
2024-07-29T05:40:37.790403204Z,791
2024-07-29T05:40:38.81024605Z,56
2024-07-29T05:40:39.840361833Z,791
2024-07-29T05:40:40.860514462Z,55
2024-07-29T05:40:43.010125364Z,791
2024-07-29T05:40:45.260506963Z,792
2024-07-29T05:40:46.190450399Z,55
2024-07-29T05:40:47.210108652Z,791
2024-07-29T05:40:49.470334999Z,792
2024-07-29T05:40:50.490459072Z,791
2024-07-29T05:40:52.740082545Z,792
2024-07-29T05:40:53.660192913Z,791
2024-07-29T05:40:56.950521626Z,15
2024-07-29T05:40:57.970282436Z,13
2024-07-29T05:40:59.000265737Z,12
2024-07-29T05:41:00.020405813Z,13
2024-07-29T05:41:02.070290824Z,15
2024-07-29T05:41:04.122293432Z,13
2024-07-29T05:41:07.180247543Z,12
2024-07-29T05:41:08.211026189Z,15
2024-07-29T05:41:09.230193473Z,49
2024-07-29T05:41:10.360473555Z,791
2024-07-29T05:41:11.380400573Z,55
2024-07-29T05:41:12.410286151Z,791
2024-07-29T05:41:14.560495304Z,792
2024-07-29T05:41:15.570186393Z,51
2024-07-29T05:41:16.710587021Z,791
2024-07-29T05:41:18.861645323Z,792
2024-07-29T05:41:19.880329575Z,791
2024-07-29T05:41:22.030674107Z,59
2024-07-29T05:41:23.06033483Z,791
2024-07-29T05:41:25.210569174Z,57
2024-07-29T05:41:26.33004297Z,791
2024-07-29T05:41:28.481431207Z,792
2024-07-29T05:41:29.510999901Z,791
2024-07-29T05:41:31.660377958Z,792
2024-07-29T05:41:32.66998813Z,791
2024-07-29T05:41:33.810202636Z,792
2024-07-29T05:41:34.830694071Z,15
2024-07-29T05:41:35.960062387Z,791
2024-07-29T05:41:38.211488281Z,55
2024-07-29T05:41:39.120245331Z,791
2024-07-29T05:41:41.380372515Z,792
2024-07-29T05:41:42.310137819Z,791
2024-07-29T05:41:44.454423447Z,792
2024-07-29T05:41:45.58034611Z,791
2024-07-29T05:41:46.61026914Z,16
2024-07-29T05:41:47.730486072Z,791
2024-07-29T05:41:49.780558333Z,792
2024-07-29T05:41:50.910457798Z,791
2024-07-29T05:41:53.060404051Z,792
2024-07-29T05:41:54.090439781Z,55
2024-07-29T05:41:55.110382877Z,791
2024-07-29T05:41:57.250322381Z,792
2024-07-29T05:41:58.487499596Z,791
2024-07-29T05:41:59.395208242Z,47
2024-07-29T05:42:00.727502848Z,791
2024-07-29T05:42:01.560789686Z,48
2024-07-29T05:42:03.628210664Z,46
2024-07-29T05:42:04.6242524Z,55
2024-07-29T05:42:06.667813228Z,42
2024-07-29T05:42:07.81023472Z,791
2024-07-29T05:42:08.717176443Z,35
2024-07-29T05:42:09.84423726Z,791
2024-07-29T05:42:10.880266553Z,18
2024-07-29T05:42:11.900358072Z,9
2024-07-29T05:42:13.950267794Z,7
2024-07-29T05:42:14.970280581Z,9
2024-07-29T05:42:16.100639921Z,791
2024-07-29T05:42:18.150290145Z,8
2024-07-29T05:42:20.300187145Z,9
2024-07-29T05:42:21.320600204Z,8
2024-07-29T05:42:25.410273279Z,36
2024-07-29T05:42:26.440487273Z,37
2024-07-29T05:42:27.450341766Z,791
2024-07-29T05:42:28.490782363Z,37
2024-07-29T05:42:29.510342837Z,36
2024-07-29T05:42:30.64033562Z,791
2024-07-29T05:42:32.7908885Z,792
2024-07-29T05:42:33.820400852Z,35
2024-07-29T05:42:35.860635767Z,36
2024-07-29T05:42:36.880726336Z,35
2024-07-29T05:42:39.030887982Z,792
2024-07-29T05:42:40.060231815Z,791
2024-07-29T05:42:41.082553581Z,37
2024-07-29T05:42:42.110293267Z,35
2024-07-29T05:42:43.130888564Z,36
2024-07-29T05:42:44.260629479Z,35
2024-07-29T05:42:45.290386114Z,791
2024-07-29T05:42:46.31594678Z,42
2024-07-29T05:42:47.417796043Z,791
2024-07-29T05:42:49.577256024Z,792
2024-07-29T05:42:50.610186987Z,791
2024-07-29T05:42:52.760186543Z,792
2024-07-29T05:42:53.990215462Z,791
2024-07-29T05:42:54.910473962Z,37
2024-07-29T05:42:56.040228753Z,791
2024-07-29T05:42:58.191232666Z,35
2024-07-29T05:43:00.130620509Z,792
2024-07-29T05:43:01.260240204Z,791
2024-07-29T05:43:03.410335182Z,67
2024-07-29T05:43:04.430355642Z,25
2024-07-29T05:43:05.450439Z,40
2024-07-29T05:43:06.510786235Z,60
2024-07-29T05:43:07.490614382Z,48
2024-07-29T05:43:08.630721985Z,47
2024-07-29T05:43:09.551089997Z,46
2024-07-29T05:43:10.71041405Z,791
2024-07-29T05:43:12.834236456Z,792
2024-07-29T05:43:13.850742984Z,55
2024-07-29T05:43:14.900240376Z,49
2024-07-29T05:43:15.91028306Z,16
2024-07-29T05:43:16.928445616Z,791
2024-07-29T05:43:19.070320728Z,792
2024-07-29T05:43:20.100254122Z,31
2024-07-29T05:43:21.158753467Z,30
2024-07-29T05:43:22.25023078Z,16
2024-07-29T05:43:23.270131457Z,18
2024-07-29T05:43:24.291211521Z,32
2024-07-29T05:43:25.321794741Z,24
2024-07-29T05:43:26.340493995Z,56
2024-07-29T05:43:27.370425091Z,15
2024-07-29T05:43:28.498262966Z,16
2024-07-29T05:43:30.440869174Z,56
2024-07-29T05:43:31.460630847Z,70
2024-07-29T05:43:32.490264021Z,72
2024-07-29T05:43:33.600348115Z,75
2024-07-29T05:43:34.540395726Z,62
2024-07-29T05:43:35.660620957Z,58
2024-07-29T05:43:36.690162994Z,55
2024-07-29T05:43:37.800556948Z,42
2024-07-29T05:43:38.740219393Z,422
2024-07-29T05:43:39.760883766Z,791
2024-07-29T05:43:42.010177934Z,792
2024-07-29T05:43:43.040141453Z,791
2024-07-29T05:43:44.060630278Z,81
2024-07-29T05:43:45.290473078Z,791
2024-07-29T05:43:46.210249563Z,55
2024-07-29T05:43:47.230163869Z,4
2024-07-29T05:43:48.250273349Z,17
2024-07-29T05:43:49.28038852Z,40
2024-07-29T05:43:50.400418814Z,53
2024-07-29T05:43:51.320625123Z,17
2024-07-29T05:43:52.360287306Z,49
2024-07-29T05:43:53.380978898Z,27
