Gyro_X,Gyro_Y,Gyro_Z,Timestamp
0.31, 0.55, 0.61,2024-08-13 16:07:57
-55.79, -25.39, 9.16,2024-08-13 16:07:58
0.31, 0.55, 0.61,2024-08-13 16:07:59
-0.98, -0.55, 0.85,2024-08-13 16:08:00
0.31, 0.49, 0.55,2024-08-13 16:08:01
0.24, 0.37, 0.55,2024-08-13 16:08:02
0.79, 0.79, 0.61,2024-08-13 16:08:03
0.31, 0.49, 0.55,2024-08-13 16:08:04
0.55, 0.79, 0.55,2024-08-13 16:08:05
0.73, 0.92, 0.55,2024-08-13 16:08:06
0.43, 0.55, 0.55,2024-08-13 16:08:07
0.37, 0.55, 0.55,2024-08-13 16:08:08
0.31, 0.49, 0.55,2024-08-13 16:08:09
0.00, -0.06, 0.61,2024-08-13 16:08:10
0.12, 0.79, 0.55,2024-08-13 16:08:11
0.12, 0.43, 0.55,2024-08-13 16:08:12
0.31, 0.37, 0.61,2024-08-13 16:08:13
0.43, 0.61, 0.55,2024-08-13 16:08:14
0.24, 0.49, 0.61,2024-08-13 16:08:15
0.31, 0.55, 0.55,2024-08-13 16:08:16
0.61, 0.67, 0.55,2024-08-13 16:08:17
1.34, 1.04, 0.55,2024-08-13 16:08:18
0.31, 0.49, 0.55,2024-08-13 16:08:19
0.24, 0.55, 0.55,2024-08-13 16:08:20
0.24, 0.43, 0.55,2024-08-13 16:08:21
0.31, 0.49, 0.55,2024-08-13 16:08:22
0.43, 0.67, 0.55,2024-08-13 16:08:23
0.00, 0.31, 0.61,2024-08-13 16:08:24
0.12, 0.18, 0.55,2024-08-13 16:08:25
1.65, 1.28, 0.61,2024-08-13 16:08:26
0.37, 0.55, 0.61,2024-08-13 16:08:27
0.37, 0.55, 0.55,2024-08-13 16:08:28
0.18, 0.55, 0.61,2024-08-13 16:08:29
0.43, 0.73, 0.61,2024-08-13 16:08:30
0.31, 0.55, 0.55,2024-08-13 16:08:31
0.37, 0.49, 0.55,2024-08-13 16:08:32
0.37, 0.79, 0.49,2024-08-13 16:08:33
0.31, 0.49, 0.61,2024-08-13 16:08:34
0.18, 0.37, 0.55,2024-08-13 16:08:35
0.37, 0.55, 0.55,2024-08-13 16:08:36
0.24, 0.55, 0.55,2024-08-13 16:08:37
0.06, 0.49, 0.61,2024-08-13 16:08:38
0.31, 0.55, 0.55,2024-08-13 16:08:39
0.37, 0.61, 0.55,2024-08-13 16:08:40
-2.56, -1.95, 0.67,2024-08-13 16:08:41
0.31, 0.43, 0.61,2024-08-13 16:08:42
0.06, 0.31, 0.61,2024-08-13 16:08:43
0.31, 0.49, 0.55,2024-08-13 16:08:44
0.24, 0.37, 0.61,2024-08-13 16:08:45
0.37, 0.61, 0.55,2024-08-13 16:08:46
0.37, 0.61, 0.55,2024-08-13 16:08:47
0.43, 0.67, 0.55,2024-08-13 16:08:48
0.37, 0.61, 0.55,2024-08-13 16:08:49
0.24, 0.43, 0.61,2024-08-13 16:08:50
0.31, 0.49, 0.55,2024-08-13 16:08:51
0.43, 0.61, 0.55,2024-08-13 16:08:52
0.24, 0.49, 0.55,2024-08-13 16:08:53
0.43, 0.55, 0.55,2024-08-13 16:08:54
0.37, 0.55, 0.55,2024-08-13 16:08:55
0.24, 0.49, 0.55,2024-08-13 16:08:56
0.31, 0.49, 0.55,2024-08-13 16:08:57
0.24, 0.49, 0.55,2024-08-13 16:08:58
0.18, 0.49, 0.55,2024-08-13 16:08:59
0.18, 0.55, 0.55,2024-08-13 16:09:00
0.37, 0.49, 0.55,2024-08-13 16:09:01
0.31, 0.49, 0.61,2024-08-13 16:09:02
0.31, 0.55, 0.61,2024-08-13 16:09:03
0.24, 0.55, 0.55,2024-08-13 16:09:04
0.06, 0.31, 0.61,2024-08-13 16:09:05
