Timestamp,x,y,z
2024-08-26 20:41:13,0.31, 0.49, 0.55
2024-08-26 20:41:15,0.31, 0.49, 0.55
2024-08-26 20:41:17,0.31, 0.49, 0.49
2024-08-26 20:41:19,0.24, 0.49, 0.55
2024-08-26 20:41:21,0.24, 0.55, 0.49
2024-08-26 20:41:23,0.31, 0.55, 0.49
2024-08-26 20:41:25,0.31, 0.49, 0.49
2024-08-26 20:41:27,0.24, 0.49, 0.49
2024-08-26 20:41:29,0.24, 0.55, 0.55
2024-08-26 20:41:31,0.18, 0.43, 0.49
2024-08-26 20:41:33,0.31, 0.49, 0.49
2024-08-26 20:41:35,0.37, 0.55, 0.49
2024-08-26 20:41:38,0.31, 0.49, 0.55
2024-08-26 20:41:40,0.31, 0.49, 0.49
2024-08-26 20:41:42,0.31, 0.55, 0.49
2024-08-26 20:41:44,0.24, 0.49, 0.55
2024-08-26 20:41:46,0.31, 0.49, 0.49
2024-08-26 20:41:48,0.31, 0.49, 0.49
2024-08-26 20:41:50,0.24, 0.49, 0.49
2024-08-26 20:41:52,0.24, 0.49, 0.49
2024-08-26 20:41:54,0.24, 0.49, 0.49
2024-08-26 20:41:56,0.24, 0.49, 0.49
2024-08-26 20:41:58,0.24, 0.49, 0.55
2024-08-26 20:42:00,0.24, 0.49, 0.49
2024-08-26 20:42:02,0.24, 0.49, 0.55
2024-08-26 20:42:04,0.31, 0.49, 0.49
2024-08-26 20:42:06,0.31, 0.55, 0.55
2024-08-26 20:42:08,0.31, 0.49, 0.49
2024-08-26 20:42:10,0.24, 0.55, 0.49
2024-08-26 20:42:12,0.31, 0.49, 0.49
2024-08-26 20:42:14,0.31, 0.49, 0.49
2024-08-26 20:42:16,0.12, 0.37, 0.55
2024-08-26 20:42:18,0.43, 0.37, 0.49
2024-08-26 20:42:20,0.61, 0.49, 0.49
2024-08-26 20:42:22,0.37, 0.61, 0.55
2024-08-26 20:42:24,-0.06, 0.67, 0.55
2024-08-26 20:42:27,0.37, 0.43, 0.49
2024-08-26 20:42:29,0.18, 0.49, 0.49
2024-08-26 20:42:31,0.12, 0.43, 0.49
2024-08-26 20:42:33,0.37, 0.55, 0.55
2024-08-26 20:42:35,0.31, 0.49, 0.55
2024-08-26 20:42:37,0.24, 0.55, 0.55
2024-08-26 20:42:39,0.43, 0.55, 0.49
2024-08-26 20:42:41,0.31, 0.43, 0.49
2024-08-26 20:42:43,0.31, 0.49, 0.49
2024-08-26 20:42:45,0.31, 0.55, 0.49
2024-08-26 20:42:47,0.18, 0.49, 0.49
2024-08-26 20:42:49,0.31, 0.49, 0.49
2024-08-26 20:42:51,0.31, 0.49, 0.49
2024-08-26 20:42:53,0.31, 0.49, 0.49
2024-08-26 20:42:55,0.24, 0.49, 0.49
2024-08-26 20:42:57,0.24, 0.49, 0.49
2024-08-26 20:42:59,0.37, 0.49, 0.55
2024-08-26 20:43:01,0.24, 0.55, 0.49
2024-08-26 20:43:03,0.37, 0.55, 0.49
2024-08-26 20:43:05,-0.43, 0.24, 0.49
2024-08-26 20:43:07,0.24, 0.49, 0.55
2024-08-26 20:43:09,0.37, 0.49, 0.49
2024-08-26 20:43:11,0.31, 0.55, 0.49
2024-08-26 20:43:13,0.12, 0.49, 0.49
2024-08-26 20:43:16,-0.06, 0.49, 0.55
2024-08-26 20:43:18,0.49, 0.43, 0.49
2024-08-26 20:43:20,0.49, 0.61, 0.55
2024-08-26 20:43:22,0.37, 0.55, 0.55
2024-08-26 20:43:24,0.24, 0.49, 0.49
2024-08-26 20:43:26,0.31, 0.49, 0.49
2024-08-26 20:43:28,0.24, 0.55, 0.49
2024-08-26 20:43:30,0.18, 0.43, 0.49
2024-08-26 20:43:32,0.18, 0.55, 0.49
2024-08-26 20:43:34,0.37, 0.55, 0.49
2024-08-26 20:43:36,0.43, 0.49, 0.49
2024-08-26 20:43:38,1.59, 0.43, 0.55
2024-08-26 20:43:40,0.24, 0.24, 0.49
2024-08-26 20:43:42,0.92, 0.18, 0.61
2024-08-26 20:43:44,0.31, 0.43, 0.49
2024-08-26 20:43:46,2.14, 0.37, 0.49
2024-08-26 20:43:48,15.26, 0.61, 0.49
2024-08-26 20:43:50,0.18, 0.43, 0.49
2024-08-26 20:43:52,0.06, 0.55, 0.55
2024-08-26 20:43:54,0.43, 0.49, 0.55
2024-08-26 20:43:56,0.18, 0.55, 0.49
2024-08-26 20:43:58,-0.12, 0.61, 0.49
2024-08-26 20:44:00,0.24, 0.49, 0.55
2024-08-26 20:44:02,0.24, 0.49, 0.49
2024-08-26 20:44:05,0.31, 0.49, 0.55
2024-08-26 20:44:07,0.31, 0.49, 0.55
2024-08-26 20:44:09,0.31, 0.49, 0.55
2024-08-26 20:44:11,0.31, 0.49, 0.49
2024-08-26 20:44:13,0.24, 0.49, 0.55
2024-08-26 20:44:15,0.31, 0.49, 0.49
2024-08-26 20:44:17,0.31, 0.49, 0.55
2024-08-26 20:44:19,0.31, 0.49, 0.49
2024-08-26 20:44:21,0.31, 0.49, 0.55
2024-08-26 20:44:23,0.31, 0.49, 0.49
2024-08-26 20:44:25,0.31, 0.73, 0.55
2024-08-26 20:44:27,-1.89, 0.06, 0.49
2024-08-26 20:44:29,0.37, 0.79, 0.55
2024-08-26 20:44:31,0.49, 0.43, 0.55
2024-08-26 20:44:33,0.37, 0.49, 0.55
2024-08-26 20:44:35,-0.06, 0.06, 0.49
2024-08-26 20:44:37,0.37, 0.55, 0.55
2024-08-26 20:44:39,0.12, 0.49, 0.49
2024-08-26 20:44:41,0.31, 0.49, 0.49
2024-08-26 20:44:43,0.61, 0.37, 0.49
2024-08-26 20:44:45,0.67, 0.55, 0.49
2024-08-26 20:44:47,0.31, 0.43, 0.49
2024-08-26 20:44:50,0.55, 0.61, 0.49
2024-08-26 20:44:52,0.37, 0.67, 0.49
2024-08-26 20:44:54,0.12, 0.43, 0.55
2024-08-26 20:44:56,0.31, 0.49, 0.49
2024-08-26 20:44:58,0.67, 1.04, 0.55
2024-08-26 20:45:00,0.61, 0.55, 0.49
2024-08-26 20:45:02,0.24, 0.49, 0.55
2024-08-26 20:45:04,0.31, 0.49, 0.49
2024-08-26 20:45:06,0.12, 0.85, 0.55
2024-08-26 20:45:08,0.18, 0.37, 0.49
2024-08-26 20:45:10,0.31, 0.55, 0.49
2024-08-26 20:45:12,0.37, 0.67, 0.49
2024-08-26 20:45:14,0.12, 0.61, 0.49
2024-08-26 20:45:16,0.24, 0.49, 0.49
2024-08-26 20:45:18,0.24, 0.49, 0.55
2024-08-26 20:45:20,0.24, 0.49, 0.49
2024-08-26 20:45:22,0.24, 0.49, 0.49
2024-08-26 20:45:24,0.12, 0.43, 0.49
2024-08-26 20:45:26,0.12, 0.73, 0.55
2024-08-26 20:45:28,0.24, 0.43, 0.49
2024-08-26 20:45:30,0.37, 0.55, 0.55
2024-08-26 20:45:32,0.37, 0.73, 0.55
2024-08-26 20:45:34,0.12, 0.31, 0.55
2024-08-26 20:45:37,0.43, 0.55, 0.55
2024-08-26 20:45:39,0.31, 0.55, 0.55
2024-08-26 20:45:41,0.18, 0.43, 0.55
2024-08-26 20:45:43,0.31, 0.61, 0.49
2024-08-26 20:45:45,0.37, 0.61, 0.55
2024-08-26 20:45:47,0.00, 0.49, 0.49
2024-08-26 20:45:49,0.18, 0.61, 0.49
2024-08-26 20:45:51,-0.37, 0.31, 0.55
2024-08-26 20:45:53,0.43, 0.49, 0.49
2024-08-26 20:45:55,-0.06, 0.49, 0.49
2024-08-26 20:45:57,0.49, 0.31, 0.49
2024-08-26 20:45:59,0.55, 0.43, 0.49
2024-08-26 20:46:01,0.00, 0.67, 0.49
2024-08-26 20:46:03,0.43, 0.61, 0.49
2024-08-26 20:46:05,0.31, 0.61, 0.49
2024-08-26 20:46:07,0.18, 0.31, 0.55
2024-08-26 20:46:09,0.18, 0.49, 0.49
2024-08-26 20:46:11,0.24, 0.31, 0.49
2024-08-26 20:46:13,0.31, 0.55, 0.49
2024-08-26 20:46:15,0.24, 0.49, 0.49
2024-08-26 20:46:17,0.31, 0.49, 0.49
