_id,Timestamp,x,y,z
66c97e3400cbf1ca6a82dce9,2024-08-24 16:31:16.143000,0.24, -0.67, 0.49
66c97e3600cbf1ca6a82dcea,2024-08-24 16:31:18.144000,0.24, 1.22, 0.55
66c97e3800cbf1ca6a82dceb,2024-08-24 16:31:20.696000,0.24, 0.37, 0.49
66c97e3a00cbf1ca6a82dcec,2024-08-24 16:31:22.155000,0.73, -1.04, 0.43
66c97e3c00cbf1ca6a82dced,2024-08-24 16:31:24.162000,0.31, 0.43, 0.49
66c97e3e00cbf1ca6a82dcee,2024-08-24 16:31:26.171000,0.43, 0.12, 0.49
66c97e4000cbf1ca6a82dcef,2024-08-24 16:31:28.171000,0.31, 0.49, 0.43
66c97e4200cbf1ca6a82dcf0,2024-08-24 16:31:30.175000,-0.12, 0.06, 0.49
66c97e4400cbf1ca6a82dcf1,2024-08-24 16:31:32.179000,0.43, 0.67, 0.49
66c97e4600cbf1ca6a82dcf2,2024-08-24 16:31:34.188000,0.31, 0.61, 0.49
66c97e4800cbf1ca6a82dcf3,2024-08-24 16:31:36.196000,0.31, 0.49, 0.49
66c97e4a00cbf1ca6a82dcf4,2024-08-24 16:31:38.718000,0.31, 0.43, 0.43
66c97e4c00cbf1ca6a82dcf5,2024-08-24 16:31:40.199000,0.31, 0.49, 0.49
66c97e4e00cbf1ca6a82dcf6,2024-08-24 16:31:42.207000,0.24, 0.37, 0.49
66c97e5000cbf1ca6a82dcf7,2024-08-24 16:31:44.214000,0.24, 0.49, 0.49
66c97e5200cbf1ca6a82dcf8,2024-08-24 16:31:46.215000,0.31, 0.55, 0.49
66c97e5400cbf1ca6a82dcf9,2024-08-24 16:31:48.221000,0.31, 0.49, 0.49
66c97e5600cbf1ca6a82dcfa,2024-08-24 16:31:50.224000,0.31, 0.55, 0.49
66c97e5800cbf1ca6a82dcfb,2024-08-24 16:31:52.256000,0.37, 0.43, 0.49
66c97e5a00cbf1ca6a82dcfc,2024-08-24 16:31:54.259000,0.18, 0.55, 0.49
66c97e5c00cbf1ca6a82dcfd,2024-08-24 16:31:56.790000,0.24, 0.55, 0.49
66c97e5e00cbf1ca6a82dcfe,2024-08-24 16:31:58.271000,0.31, 0.49, 0.49
66c97e6000cbf1ca6a82dcff,2024-08-24 16:32:00.264000,0.31, 0.49, 0.49
66c97e6200cbf1ca6a82dd00,2024-08-24 16:32:02.269000,0.37, 0.49, 0.49
66c97e6400cbf1ca6a82dd01,2024-08-24 16:32:04.286000,0.31, 0.49, 0.49
66c97e6600cbf1ca6a82dd02,2024-08-24 16:32:06.273000,0.31, 0.49, 0.49
66c97e6800cbf1ca6a82dd03,2024-08-24 16:32:08.310000,0.31, 0.49, 0.49
66c97e6a00cbf1ca6a82dd04,2024-08-24 16:32:10.296000,0.31, 0.49, 0.49
66c97e6c00cbf1ca6a82dd05,2024-08-24 16:32:12.294000,0.31, 0.43, 0.49
66c97e6e00cbf1ca6a82dd06,2024-08-24 16:32:14.847000,0.31, 0.49, 0.49
66c97e7000cbf1ca6a82dd07,2024-08-24 16:32:16.321000,0.31, 0.55, 0.43
66c97e7200cbf1ca6a82dd08,2024-08-24 16:32:18.303000,0.31, 0.49, 0.49
66c97e7400cbf1ca6a82dd09,2024-08-24 16:32:20.301000,0.31, 0.55, 0.49
66c97e7600cbf1ca6a82dd0a,2024-08-24 16:32:22.306000,0.37, 0.49, 0.49
66c97e7800cbf1ca6a82dd0b,2024-08-24 16:32:24.314000,0.31, 0.55, 0.49
66c97e7a00cbf1ca6a82dd0c,2024-08-24 16:32:26.327000,0.37, 0.49, 0.49
66c97e7c00cbf1ca6a82dd0d,2024-08-24 16:32:28.364000,0.31, 0.43, 0.49
66c97e7e00cbf1ca6a82dd0e,2024-08-24 16:32:30.339000,0.31, 0.49, 0.49
66c97e8000cbf1ca6a82dd0f,2024-08-24 16:32:32.820000,0.31, 0.49, 0.49
66c97e8200cbf1ca6a82dd10,2024-08-24 16:32:34.356000,0.31, 0.43, 0.49
66c97e8400cbf1ca6a82dd11,2024-08-24 16:32:36.343000,0.31, 0.49, 0.49
66c97e8600cbf1ca6a82dd12,2024-08-24 16:32:38.347000,0.31, 0.55, 0.49
66c97e8800cbf1ca6a82dd13,2024-08-24 16:32:40.351000,0.24, 0.49, 0.49
66c97e8a00cbf1ca6a82dd14,2024-08-24 16:32:42.368000,0.31, 0.49, 0.49
66c97e8c00cbf1ca6a82dd15,2024-08-24 16:32:44.358000,0.31, 0.49, 0.49
66c97e8e00cbf1ca6a82dd16,2024-08-24 16:32:46.370000,0.37, 0.49, 0.49
66c97e9000cbf1ca6a82dd17,2024-08-24 16:32:48.372000,0.31, 0.49, 0.49
66c97e9200cbf1ca6a82dd18,2024-08-24 16:32:50.821000,0.31, 0.55, 0.55
66c97e9400cbf1ca6a82dd19,2024-08-24 16:32:52.381000,0.31, 0.49, 0.49
66c97e9600cbf1ca6a82dd1a,2024-08-24 16:32:54.390000,0.31, 0.43, 0.49
66c97e9800cbf1ca6a82dd1b,2024-08-24 16:32:56.406000,0.31, 0.49, 0.49
66c97e9a00cbf1ca6a82dd1c,2024-08-24 16:32:58.400000,0.37, 0.43, 0.49
66c97e9c00cbf1ca6a82dd1d,2024-08-24 16:33:00.400000,0.37, 0.49, 0.49
66c97e9e00cbf1ca6a82dd1e,2024-08-24 16:33:02.404000,0.24, 0.55, 0.49
66c97ea000cbf1ca6a82dd1f,2024-08-24 16:33:04.410000,0.31, 0.49, 0.49
66c97ea200cbf1ca6a82dd20,2024-08-24 16:33:06.415000,0.31, 0.49, 0.49
66c97ea400cbf1ca6a82dd21,2024-08-24 16:33:08.833000,0.31, 0.49, 0.49
66c97ea600cbf1ca6a82dd22,2024-08-24 16:33:10.426000,0.37, 0.49, 0.43
66c97ea800cbf1ca6a82dd23,2024-08-24 16:33:12.431000,0.24, 0.49, 0.49
66c97eaa00cbf1ca6a82dd24,2024-08-24 16:33:14.438000,0.31, 0.49, 0.49
66c97eac00cbf1ca6a82dd25,2024-08-24 16:33:16.439000,0.24, 0.55, 0.49
66c97eae00cbf1ca6a82dd26,2024-08-24 16:33:18.446000,0.37, 0.43, 0.49
66c97eb000cbf1ca6a82dd27,2024-08-24 16:33:20.453000,0.24, 0.43, 0.49
66c97eb200cbf1ca6a82dd28,2024-08-24 16:33:22.455000,0.31, 0.49, 0.49
66c97eb400cbf1ca6a82dd29,2024-08-24 16:33:24.464000,0.31, 0.49, 0.49
66c97eb600cbf1ca6a82dd2a,2024-08-24 16:33:26.866000,0.31, 0.55, 0.49
66c97eb800cbf1ca6a82dd2b,2024-08-24 16:33:28.502000,0.31, 0.49, 0.49
66c97eba00cbf1ca6a82dd2c,2024-08-24 16:33:30.488000,0.31, 0.49, 0.49
66c97ebc00cbf1ca6a82dd2d,2024-08-24 16:33:32.500000,0.31, 0.49, 0.49
66c97ebe00cbf1ca6a82dd2e,2024-08-24 16:33:34.486000,0.37, 0.49, 0.49
66c97ec000cbf1ca6a82dd2f,2024-08-24 16:33:36.497000,0.24, 0.49, 0.49
66c97ec200cbf1ca6a82dd30,2024-08-24 16:33:38.496000,0.31, 0.61, 0.49
66c97ec400cbf1ca6a82dd31,2024-08-24 16:33:40.500000,0.49, 0.00, 0.49
66c97ec600cbf1ca6a82dd32,2024-08-24 16:33:42.503000,0.31, 0.43, 0.49
66c97ec800cbf1ca6a82dd33,2024-08-24 16:33:44.963000,0.31, 0.49, 0.49
66c97eca00cbf1ca6a82dd34,2024-08-24 16:33:46.526000,0.18, 0.49, 0.49
66c97ecc00cbf1ca6a82dd35,2024-08-24 16:33:48.533000,0.37, 0.49, 0.49
66c97ece00cbf1ca6a82dd36,2024-08-24 16:33:50.616000,0.31, 0.49, 0.49
66c97ed000cbf1ca6a82dd37,2024-08-24 16:33:52.541000,0.31, 0.55, 0.49
66c97ed200cbf1ca6a82dd38,2024-08-24 16:33:54.581000,0.37, 0.49, 0.49
66c97ed400cbf1ca6a82dd39,2024-08-24 16:33:56.571000,0.31, 0.49, 0.49
66c97ed600cbf1ca6a82dd3a,2024-08-24 16:33:58.553000,0.31, 0.43, 0.49
66c97ed800cbf1ca6a82dd3b,2024-08-24 16:34:00.558000,0.37, 0.49, 0.49
66c97edb00cbf1ca6a82dd3c,2024-08-24 16:34:03.011000,0.37, 0.43, 0.49
66c97edc00cbf1ca6a82dd3d,2024-08-24 16:34:04.587000,8.61, 3.66, 0.73
66c97ede00cbf1ca6a82dd3e,2024-08-24 16:34:06.591000,0.18, 0.55, 0.49
66c97ee000cbf1ca6a82dd3f,2024-08-24 16:34:08.586000,0.92, 0.98, 0.49
66c97ee200cbf1ca6a82dd40,2024-08-24 16:34:10.589000,0.37, 1.16, 0.49
66c97ee400cbf1ca6a82dd41,2024-08-24 16:34:12.585000,0.31, 0.31, 0.49
66c97ee600cbf1ca6a82dd42,2024-08-24 16:34:14.588000,0.43, 0.73, 0.49
66c97ee800cbf1ca6a82dd43,2024-08-24 16:34:16.595000,0.85, 0.24, 0.49
66c97eea00cbf1ca6a82dd44,2024-08-24 16:34:18.613000,0.00, 0.18, 0.49
66c97eed00cbf1ca6a82dd45,2024-08-24 16:34:21.050000,0.31, 0.43, 0.49
66c97eee00cbf1ca6a82dd46,2024-08-24 16:34:22.627000,0.37, 0.61, 0.49
66c97ef000cbf1ca6a82dd47,2024-08-24 16:34:24.637000,0.43, 1.16, 0.49
66c97ef200cbf1ca6a82dd48,2024-08-24 16:34:26.632000,0.37, 0.92, 0.49
66c97ef400cbf1ca6a82dd49,2024-08-24 16:34:28.626000,0.49, 0.43, 0.49
66c97ef600cbf1ca6a82dd4a,2024-08-24 16:34:30.626000,0.24, 0.37, 0.49
66c97ef800cbf1ca6a82dd4b,2024-08-24 16:34:32.631000,0.43, 0.49, 0.49
66c97efa00cbf1ca6a82dd4c,2024-08-24 16:34:34.647000,-0.18, -0.18, 0.49
66c97efc00cbf1ca6a82dd4d,2024-08-24 16:34:36.645000,0.12, 0.73, 0.49
66c97eff00cbf1ca6a82dd4e,2024-08-24 16:34:39.252000,-0.18, 0.06, 0.55
66c97f0000cbf1ca6a82dd4f,2024-08-24 16:34:40.655000,0.55, 0.49, 0.55
66c97f0200cbf1ca6a82dd50,2024-08-24 16:34:42.657000,0.85, 0.98, 0.49
66c97f0400cbf1ca6a82dd51,2024-08-24 16:34:44.661000,0.49, 0.49, 0.49
66c97f0600cbf1ca6a82dd52,2024-08-24 16:34:46.667000,0.85, 0.55, 0.49
66c97f0800cbf1ca6a82dd53,2024-08-24 16:34:48.673000,0.31, 0.73, 0.49
66c97f0a00cbf1ca6a82dd54,2024-08-24 16:34:50.678000,0.49, 0.24, 0.49
66c97f0c00cbf1ca6a82dd55,2024-08-24 16:34:52.679000,0.12, 0.79, 0.49
66c97f0e00cbf1ca6a82dd56,2024-08-24 16:34:54.689000,0.12, 0.37, 0.49
66c97f1100cbf1ca6a82dd57,2024-08-24 16:34:57.174000,0.37, 0.55, 0.49
66c97f1200cbf1ca6a82dd58,2024-08-24 16:34:58.703000,-0.12, 0.18, 0.49
66c97f1400cbf1ca6a82dd59,2024-08-24 16:35:00.703000,0.31, 0.67, 0.49
66c97f1600cbf1ca6a82dd5a,2024-08-24 16:35:02.706000,0.31, 0.49, 0.49
66c97f1800cbf1ca6a82dd5b,2024-08-24 16:35:04.715000,0.43, 0.55, 0.55
66c97f1a00cbf1ca6a82dd5c,2024-08-24 16:35:06.716000,0.18, 0.49, 0.49
66c97f1c00cbf1ca6a82dd5d,2024-08-24 16:35:08.726000,0.61, -0.12, 0.49
66c97f1e00cbf1ca6a82dd5e,2024-08-24 16:35:10.726000,0.55, 1.22, 0.49
66c97f2000cbf1ca6a82dd5f,2024-08-24 16:35:12.752000,0.43, 0.43, 0.49
66c97f2300cbf1ca6a82dd60,2024-08-24 16:35:15.212000,0.37, 0.49, 0.49
66c97f2400cbf1ca6a82dd61,2024-08-24 16:35:16.748000,0.24, 0.85, 0.49
66c97f2600cbf1ca6a82dd62,2024-08-24 16:35:18.747000,0.37, 0.85, 0.49
66c97f2800cbf1ca6a82dd63,2024-08-24 16:35:20.750000,0.67, 0.98, 0.49
66c97f2a00cbf1ca6a82dd64,2024-08-24 16:35:22.755000,0.00, 0.06, 0.49
66c97f2c00cbf1ca6a82dd65,2024-08-24 16:35:24.760000,0.24, 0.49, 0.49
66c97f2e00cbf1ca6a82dd66,2024-08-24 16:35:26.769000,-0.06, 1.71, 0.43
66c97f3000cbf1ca6a82dd67,2024-08-24 16:35:28.807000,-0.06, 0.37, 0.49
66c97f3200cbf1ca6a82dd68,2024-08-24 16:35:30.793000,0.31, 0.61, 0.49
66c97f3500cbf1ca6a82dd69,2024-08-24 16:35:33.246000,0.24, 0.18, 0.49
66c97f3600cbf1ca6a82dd6a,2024-08-24 16:35:34.797000,0.85, 1.28, 0.49
66c97f3800cbf1ca6a82dd6b,2024-08-24 16:35:36.817000,0.18, -0.12, 0.49
66c97f3a00cbf1ca6a82dd6c,2024-08-24 16:35:38.821000,0.24, 0.85, 0.49
66c97f3c00cbf1ca6a82dd6d,2024-08-24 16:35:40.804000,0.18, 0.31, 0.49
66c97f3e00cbf1ca6a82dd6e,2024-08-24 16:35:42.810000,0.67, 0.37, 0.49
66c97f4000cbf1ca6a82dd6f,2024-08-24 16:35:44.833000,0.31, 0.43, 0.49
66c97f4200cbf1ca6a82dd70,2024-08-24 16:35:46.818000,0.12, 0.43, 0.49
66c97f4400cbf1ca6a82dd71,2024-08-24 16:35:48.821000,0.24, 0.55, 0.49
66c97f4700cbf1ca6a82dd72,2024-08-24 16:35:51.211000,0.79, 0.67, 0.49
66c97f4800cbf1ca6a82dd73,2024-08-24 16:35:52.854000,0.00, 0.31, 0.49
66c97f4a00cbf1ca6a82dd74,2024-08-24 16:35:54.837000,0.37, 1.22, 0.49
66c97f4c00cbf1ca6a82dd75,2024-08-24 16:35:56.847000,0.31, 0.43, 0.49
66c97f4e00cbf1ca6a82dd76,2024-08-24 16:35:58.852000,0.61, 0.24, 0.49
66c97f5000cbf1ca6a82dd77,2024-08-24 16:36:00.854000,0.18, 0.24, 0.49
66c97f5200cbf1ca6a82dd78,2024-08-24 16:36:02.866000,1.04, 0.55, 0.49
66c97f5400cbf1ca6a82dd79,2024-08-24 16:36:04.872000,-0.06, -0.18, 0.49
